B2,B3,B4,B5,B6,B7,B8,B9,B10,B11,B12,B13,B15,B16,B17,B18,B19,B21,B22,B23,B24,B25,B26,B27,B28,B32,B33,B34,B35,B36,B37,B38,B39,B40,B41,B42,B43,B44,B45
disponible,deposito a plazo,valores negociables,deudores por venta,documentos por cobrar,deudores varios,documentos y cuenta s por cobrar empresas relacionadas,existencias,impuestos por recuperar,gastos pagados por anticipado,impuestos diferidos,otros activos circulantes,anticipo concesiones,intereses diferidos,cheques devueltos,doc protestados,clientes incobrables,terrenos y o bienes,construcciones y obras,maquinaria y equipos,bienes agrícolas animales,bienes agrícolas plantaciones,otros activos fijos,mayor valor retasación,depreciación acumulada menos,inversiones empresas relacionadas,inversiones en otras sociedades,menor valor de inversiones,mayor valor de inversiones,deudores a largo plazo,documentos cuenta s por cobrar empresas relacionadas,intangibles,amortización,otros,activos en leasing,activos en leasing,boleta de garantia,ajuste vpp super red,garantia bidon de gas
fondo fijo c m,depositos a plazo na,fondos mutuos,cliente,cheques por cobrar,deudores apoderados,cuenta corriente por,existencia de vehiculos usados,ppm,seguros generales an,intereses diferidos leasing,goodwill cadina  socio a klaukol s a ,anticipos de comisiones,,,,,terrenos planta,instalaciones casa matriz,herramientas,,,contratos forward,,depreciación acumulada activo fijo,inversiones en pompeyo c automotriz,,,,,,software,amortizaciones del ejercicio,garantia de arriendos,,,,,
fondo fijo salvador,fondos mutuos,,venta tarjeta credito c m,letras por cobrar,asignación familiares pagadas por recuperar,cuenta corriente apo,existencia de repuestos,iva cf,patentes anticipadas,iva diferido leasing,goodwill cadina  socio b wouter van dam,anticipo clientes,,,,,,edificios y construcción planta,muebles y utiles casa matriz,,,garantia de arriendos,,depreciación acumulada muebles y utiles colegio,,,,,,,marcas comerciales,,,,,,,
fondo fijo bavaria,,,clientes,cuentas por cobrar pompeyo y cia,anticipos de sueldo,,mercaderias en bodega,remanente iva cf,flete collect usd,,goodwill cadina  cuenta particular j ,,,,,,,fabrica,muebles y equipos de oficina,,,inversiones planta,,depreciación acumulada muebles utiles y equipos informática,,,,,,,patentes comerciales,,,,,,,
banco scotiabank,,,clientes en analisis,cuentas por cobrar rentas,anticipos mat profesores,,import tránsito,iva credito fiscal,garantias por arriendo,,goodwill cadina  cuenta particular j2,,,,,,,bodega,muebles y equipos de venta,,,inversiones en curso,,,,,,,,,,,,,,,,
banco credito inversiones,,,varios deudores,cuentas por cobrar distribuidora automotriz,cuenta corriente del personal,,mercaderia en tránsito,iva credito fiscal r,arriendos anticipados,,goodwill cadina  cuenta particular f,,,,,,,instalaciones,"muebles, util e instalaciones colegio",,,construccion laboratorio,,,,,,,,,,,,,,,,
banco de chile,,,deudores dudosa recuperación,cheques en cartera,anticipo a empleados,,mercadería en consignación,impuesto a la harina,gastos anticipados,,,,,,,,,instalaciones,"muebles, util y equipos informática",,,,,,,,,,,,,,,,,,,
banco santiago,,,clientes extranjeros,cheques protestados,anticipo a proveedores,,materias primas,remanente impuesto a harina,,,,,,,,,,,vehiculos,,,,,,,,,,,,,,,,,,,
banco bbva,,,clientes,letras por cobrar,anticipo de honorarios,,productos terminados nacional,impuesto a la carne,,,,,,,,,,,maquinarias,,,,,,,,,,,,,,,,,,,
banco itau,,,clientes nacionales,letras protestadas,prestamos a empleados,,mercaderias en transito,remanente reajuste carnes,,,,,,,,,,,equipos de laboratorio,,,,,,,,,,,,,,,,,,,
caja,,,clientes extranjeros,documentos factoring monex,fondo cesantia,,envases,ila credito fiscal ,,,,,,,,,,,maquinarias cadina,,,,,,,,,,,,,,,,,,,
caja moneda nacional casa matriz,,,otros deudores klaukol,excedentes liberados factoring,anticipo a proveedor,,pallets,capacitacion sence,,,,,,,,,,,muebles y utiles,,,,,,,,,,,,,,,,,,,
fondos fijos,,,otros deudores presec,documentos en garantía,anticipo a proveedor,,productos en proceso,iva crédito fiscal,,,,,,,,,,,computadores y equipos,,,,,,,,,,,,,,,,,,,
valores a rendir,,,clientes nacionales,documentos factoring santander,anticipo a agentes d,,existencias de lubricantes,pagos provisionales mensuales,,,,,,,,,,,herramientas cadina,,,,,,,,,,,,,,,,,,,
efectivo pago ventas,,,clientes empleados e,documentos factoring boston,deudores varios,,existencias de baterias,,,,,,,,,,,,mobiliario cadina,,,,,,,,,,,,,,,,,,,
fondo fijo venta bodega,,,clientes provisionad,documentos factoring ripley,reclamos al seguro,,existencias de neumáticos,,,,,,,,,,,,computacion cadina,,,,,,,,,,,,,,,,,,,
