B61,B62,B63,B64,B65,B67,B68,B69,B70,B71,B72,B73,B74,B75,B76,B78,B79,B80,B81,B82,B83
ingresos explotación,costos explotación menos,depreciación menos,margen explotación,gav,ingresos financieros,utilidad inversiones emp relacionadas,otros ingresos fuera de explotación,pérdida inversión emp relacionadas menos,amortización menor valor inversiones menos,gastos financieros menos,otros egresos fuera de explotación menos,corrección monetaria ,diferencia de cambio,impuesto a la renta,resultado antes impuesto a la renta,impuesto a la renta menos,utilidad pérdida consolidada,interés minoritario,utilidad pérdida líquida,amortización mayor valor inversiones
venta de vehículos usado,costos de ventas,depreciaciones y castigos,,costo venta vehículos usado,intereses ganados,,otras ventas,,,,otros gastos no operacionales,correción monetaria ejercicio,diferencia de cambio,impuesto unico artic,,impuesto renta primera categoría,,,,
comision de venta,otros costos de ventas,depreciacion activos en leasing,,costo venta de accesorios,reajuste crédito fiscal,,otros ingresos,,,,recuperación de gastos,correción monetaria capital propio,diferencia tipo de cambio,impuesto diferido,,impuesto a la renta,,,,
comision por seguros,,depreciacion ediferido y cons planta,,materiales y repuestos,,,resc cuota fondos mutuos,,,,otros egresos no operacional,corrección monetaria debe,diferencia de cambio,,,,,,,
ventas juguetes,,depreciación fabrica,,servicio y reparaciones,,,descuento por pronto,,,,baja de activo fijo,corrección monetaria haber,diferencia de cambio usd,,,,,,,
ventas de exportacion,,depreciación instalaciones,,sueldos y horas extras,,,venta de activo fijo,,,,,correccion monetaria,diferencia de cambio,,,,,,,
ingresos por administración,,depreciacion equipos de oficina,,comisiones e incentivos,,,otros ingresos no operacionales,,,,,,otras diferencias de,,,,,,,
colegiaturas alumnos,,depreciación vehículos,,gratificacion y aguinaldos,,,otros ingreso diferido mp,,,,,,,,,,,,,
matrículas alumnos,,depreciación muebles y utiles,,remuneraciones exentas,,,utilidad en venta activo fijo,,,,,,,,,,,,,
interés dep a plazo fdos mutuos,,depreciación inversiones planta,,aporte patronal,,,otros ingresos no operacionales,,,,,,,,,,,,,
ingresos varios,,depreciación maquinarias,,indemnización vacaciones,,,,,,,,,,,,,,,,
venta de adhesivos,,depreciación bodega,,sueldos directos,,,,,,,,,,,,,,,,
venta de aditivos,,depreciación equipos laboratorio,,sueldos administracion,,,,,,,,,,,,,,,,
venta de fragues,,depreciación software,,mantencion de instalaciones,,,,,,,,,,,,,,,,
venta de morteros basicos,,,,mantencion maquinaria y equipos,,,,,,,,,,,,,,,,
venta de morteros técnicos,,,,telefonos,,,,,,,,,,,,,,,,
venta de revestimientos,,,,luz y agua,,,,,,,,,,,,,,,,
venta cb tc,,,,comision por venta,,,,,,,,,,,,,,,,
otras ventas,,,,arriendos,,,,,,,,,,,,,,,,
venta de eifs,,,,honorarios,,,,,,,,,,,,,,,,
