E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E21,E22,E23,E24,E25,E26,E27,E28
 obligación con banco institución financiero cp, obligación con banco institución financiero porción lp, obligación con público efectivo de comerciar, obligación con público bono, obligación largar plazo con vencimiento año, dividendo por pagar, cuenta por pagar, documento por pagar, acreedor vario, documento contar segundo por pagar emp relacionar por pagar, provisión, retención, imponer lo rentar, ingreso percibir por adelantar, impuesto diferir, otro pasivo circulante, obligación leasing cp, obligación con banco institución financiero, obligación con el público, documento por pagar, acreedor vario, documento contar segundo por pagar emp relacionar, provisión, otro pasivo lp, obligación leasing lp
 préstamo clp banco santander,,,,,, proveedor, sueldo por pagar, proveedor, contar corriente personal, provision gasto de, imponer retención segundar categoría,,,,,, linear de crédito banco de chile,,,,, provisión varios, pasivo transitorio,
 préstamo metro bice,,,,,, cuenta por pagar automotriz, honorario por pagar, proveedor nacional, préstamo spinna argentino litro página, provision vacación, imponer unico trabajador,,,,,,,,,,, provision imponer rentar,,
 préstamo metro security,,,,,, cheque por pagar, finiquito por pagar, proveedor extranjero, préstamo klaukol argentino litro página, provisión varios, retención imponer segundar categ,,,,,,,,,,, retención varios,,
 préstamo metro santander santiago,,,,,, remuneración por pagar,, proveedor en canje, préstamo parex iberica litro página, proveedor val imponer diferir, ret imponer único,,,,,,,,,,, imponer unico lo trabajador,,
 préstamo metro banco de chile,,,,,, cuenta por pagar bienestar,, proveedor extranjero usd, préstamo parex lanko litro página, proveedor deuda inc cme, iva debitar fiscal,,,,,,,,,,, imponer retencion segundar categoria,,
 préstamo metro itau,,,,,, ley social por pagar,,,, provisión vacación otro beneficio, imponer único,,,,,,,,,,, provisión varios,,
 préstamo metro scotiabank,,,,,, proveedor nacional,,,,, imponer retención segundar categoría,,,,,,,,,,, proveedor comisionar por pagar,,
 préstamo metro bbva,,,,,, facturar por recibir,,,,, ley social por pagar,,,,,,,,,,, proveedor deudor incobrales,,
 préstamo metro corp banca,,,,,, proveedor extranjero,,,,, retención del personal,,,,,,,,,,, provisión vacación,,
 préstamo metro estar,,,,,, facturar por recibir importación,,,,,,,,,,,,,,,, estimacion deudor incobrable,,
 préstamo metro banco internacional,,,,,, remuneración por pagar,,,,,,,,,,,,,,,,,,
 linear crédito internacional,,,,,, honorario por pagar,,,,,,,,,,,,,,,,,,
 préstamo bancario cortar plazo,,,,,, institución de previsión,,,,,,,,,,,,,,,,,,
 líneo de sobregiro,,,,,, otro impuesto por pagar,,,,,,,,,,,,,,,,,,
 obligación por leasing cortar plazo,,,,,, otro documento por pagar,,,,,,,,,,,,,,,,,,
,,,,,, colegiar suizo,,,,,,,,,,,,,,,,,,
,,,,,, organismo previsional,,,,,,,,,,,,,,,,,,
,,,,,, sueldo por pagar,,,,,,,,,,,,,,,,,,
,,,,,, facturar por recibir,,,,,,,,,,,,,,,,,,
,,,,,, institución previsional,,,,,,,,,,,,,,,,,,
,,,,,, tarjeta de crédito,,,,,,,,,,,,,,,,,,
,,,,,, sueldo por pagar,,,,,,,,,,,,,,,,,,
,,,,,, honorario por pagar,,,,,,,,,,,,,,,,,,
,,,,,, rendición por pagar,,,,,,,,,,,,,,,,,,
,,,,,, utilidad venta activar fijar,,,,,,,,,,,,,,,,,,
,,,,,, imponer diferir por act en leasing util,,,,,,,,,,,,,,,,,,
,,,,,, diferenciar de cambiar,,,,,,,,,,,,,,,,,,
,,,,,, diferenciar de cambiar usd,,,,,,,,,,,,,,,,,,
,,,,,, proveedor nacional,,,,,,,,,,,,,,,,,,
,,,,,, proveedor extranje,,,,,,,,,,,,,,,,,,
,,,,,, proveedor recurso,,,,,,,,,,,,,,,,,,
,,,,,, proveedor con retención,,,,,,,,,,,,,,,,,,
,,,,,, facturar por recibir,,,,,,,,,,,,,,,,,,
,,,,,, provision noto de cr,,,,,,,,,,,,,,,,,,
,,,,,, em rf derecho de,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir honorario de ag,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir gasto agente,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir fletar nacional,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir organismo public,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir comisionar,,,,,,,,,,,,,,,,,,
,,,,,, fondo por rendir sin em rf,,,,,,,,,,,,,,,,,,
,,,,,, valuación proveedor extr,,,,,,,,,,,,,,,,,,
,,,,,, valuación proveedor nacional,,,,,,,,,,,,,,,,,,
