E2,E3,E4,E5,E6,E7,E8,E9,E10,E11,E12,E13,E14,E15,E16,E17,E18,E21,E22,E23,E24,E25,E26,E27,E28
obligaciones con bancos e instituciones financieras cp,obligaciones con bancos e instituciones financieras porción lp,obligaciones con público efectivo de comercio,obligaciones con público bonos,obligaciones largo plazo con vencimiento 1 año,dividendos por pagar,cuentas por pagar,documentos por pagar,acreedores varios,documentos cuenta s por pagar emp relacionadas por pagar,provisiones,retenciones,impuesto a la renta,ingresos percibidos por adelantado,impuestos diferidos,otros pasivos circulantes,obligaciones leasing cp,obligaciones con bancos e instituciones financieras,obligaciones con el público,documentos por pagar,acreedores varios,documentos cuenta s por pagar emp relacionadas,provisiones,otros pasivos a lp,obligaciones leasing lp
préstamo clp banco santander,,,,,,proveedores,sueldos por pagar,proveedores,cuenta corriente personal,provision gastos de,impuesto retención segunda categoría,,,,,,linea de crédito banco de chile,,,,,provisiones varias,pasivos transitorios,
préstamo m e bice,,,,,,cuentas por pagar automotriz,honorarios por pagar,proveedores nacionales,préstamos spinna argentina l p,provision vacaciones,impuesto unico trabajadores,,,,,,,,,,,provision impuesto renta,,
préstamo m e security,,,,,,cheques por pagar,finiquitos por pagar,proveedores extranjeros,préstamos klaukol argentina l p,provisiones varias,retención impuesto segunda categ,,,,,,,,,,,retenciones varias,,
préstamo m e santander-santiago,,,,,,remuneraciones por pagar,,proveedores en canje,préstamos parex iberica l p,proveedor val impuesto diferido,ret impuesto único,,,,,,,,,,,impuesto unico a los trabajadores,,
préstamo m e banco de chile,,,,,,cuentas por pagar bienestar,,proveedores extranjeros usd,préstamos parex lanko l p,proveedor deuda inc cme,iva debito fiscal,,,,,,,,,,,impuesto retencion segunda categoria,,
préstamo m e itau,,,,,,leyes sociales por pagar,,,,provisión vacaciones y otros beneficios,impuesto único,,,,,,,,,,,provisiones varias,,
préstamo m e scotiabank,,,,,,proveedor nacionales,,,,,impuesto retención segunda categoría,,,,,,,,,,,proveedor comisiones por pagar,,
préstamo m e bbva,,,,,,facturas por recibir,,,,,leyes sociales por pagar,,,,,,,,,,,proveedor deudores incobrales,,
préstamo m e corp banca,,,,,,proveedores extranjeros,,,,,retenciones del personal,,,,,,,,,,,provisión vacaciones,,
préstamo m e estado,,,,,,facturas por recibir importación,,,,,,,,,,,,,,,,estimacion deudores incobrables,,
préstamo m e banco internacional,,,,,,remuneraciones por pagar,,,,,,,,,,,,,,,,,,
linea crédito internacional,,,,,,honorarios por pagar,,,,,,,,,,,,,,,,,,
préstamos bancarios corto plazo,,,,,,instituciones de previsión,,,,,,,,,,,,,,,,,,
líneas de sobregiro,,,,,,otros impuestos por pagar,,,,,,,,,,,,,,,,,,
obligaciones por leasing corto plazo,,,,,,otros documentos por pagar,,,,,,,,,,,,,,,,,,
,,,,,,colegio suizo,,,,,,,,,,,,,,,,,,
,,,,,,organismos previsionales,,,,,,,,,,,,,,,,,,
,,,,,,sueldos por pagar,,,,,,,,,,,,,,,,,,
,,,,,,facturas por recibir,,,,,,,,,,,,,,,,,,
,,,,,,instituciones previsionales,,,,,,,,,,,,,,,,,,
,,,,,,tarjeta de crédito,,,,,,,,,,,,,,,,,,
,,,,,,sueldos por pagar,,,,,,,,,,,,,,,,,,
,,,,,,honorarios por pagar,,,,,,,,,,,,,,,,,,
,,,,,,rendiciones por pagar,,,,,,,,,,,,,,,,,,
,,,,,,utilidad venta activo fijo,,,,,,,,,,,,,,,,,,
,,,,,,impuesto diferido por act en leasing util,,,,,,,,,,,,,,,,,,
,,,,,,diferencia de cambio,,,,,,,,,,,,,,,,,,
,,,,,,diferencia de cambio usd,,,,,,,,,,,,,,,,,,
,,,,,,proveedores nacional,,,,,,,,,,,,,,,,,,
,,,,,,proveedores extranje,,,,,,,,,,,,,,,,,,
,,,,,,proveedores recursos,,,,,,,,,,,,,,,,,,
,,,,,,proveedores con retención,,,,,,,,,,,,,,,,,,
,,,,,,facturas por recibir,,,,,,,,,,,,,,,,,,
,,,,,,provision nota de cr,,,,,,,,,,,,,,,,,,
,,,,,,em rf derechos de,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir honorarios de ag,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir gastos agentes d,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir flete nacional,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir organismo public,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir comisiones,,,,,,,,,,,,,,,,,,
,,,,,,fondo por rendir sin em rf,,,,,,,,,,,,,,,,,,
,,,,,,valuación proveedor extr,,,,,,,,,,,,,,,,,,
,,,,,,valuación proveedor nacional,,,,,,,,,,,,,,,,,,
